Name;UUID;Type;Rarity
ARM_Padded_Body;63cc7723-245d-4b62-b9e6-5a47283cf777;Armor;RARITY_UNKNOWN
ARM_Leather_Body;02ae5d88-8044-43df-8363-02a2900776db;Armor;RARITY_UNKNOWN
ARM_StuddedLeather_Body;19451420-13f6-444c-a15b-7abb6dde3f91;Armor;RARITY_UNKNOWN
ARM_Hide_Body;b78fabcc-d2df-4c74-b5d4-1eda6dc4c071;Armor;RARITY_UNKNOWN
ARM_ChainShirt_Body;921cd1e1-c39c-44c3-a090-b667322af7f8;Armor;RARITY_UNKNOWN
ARM_ScaleMail_Body;ca0aafad-0f1e-4d76-8e3b-925397bb436b;Armor;RARITY_UNKNOWN
ARM_Breastplate_Body;4814825e-23ee-41ed-9784-d9963434150d;Armor;RARITY_UNKNOWN
ARM_HalfPlate_Body;34a71679-0ab5-4fd4-bba8-d6ad341ee490;Armor;RARITY_UNKNOWN
ARM_RingMail_Body;e3a5099a-397a-4bbc-932c-cd0a00043b79;Armor;RARITY_UNKNOWN
ARM_ChainMail_Body;b973e3cb-c18d-4514-ba01-ebcabbf26968;Armor;RARITY_UNKNOWN
ARM_Splint_Body;8ed82f7e-fdd4-4a9f-94b6-f256c599bfdd;Armor;RARITY_UNKNOWN
ARM_Plate_Body;95b4e2c4-759a-4d33-a2d1-4e0ee6ed4f29;Armor;RARITY_UNKNOWN
ARM_Robe_Body;168b9099-19f5-44e4-b55c-e64ceb60b71f;Armor;RARITY_UNKNOWN
ARM_Robe_Body_1;7ec40cde-4d96-4352-b93e-cdcab6383337;Armor;Uncommon
ARM_Robe_Body_2;467cca20-42bb-45cd-8eac-6ed49bbc2707;Armor;Rare
ARM_Cloth_Body_1;427d12a3-dff2-4b59-978e-8e55daaed4ce;Armor;RARITY_UNKNOWN
ARM_Cloth_Body_2;0f2e59b9-c244-4e3c-836e-4f1e7b755b12;Armor;RARITY_UNKNOWN
ARM_Padded_Body_1;f5faa6c5-a43c-4edd-a77f-6e7536a7e683;Armor;Uncommon
ARM_Padded_Body_2;96613037-cbac-4f43-a39b-584e6f2629c7;Armor;Rare
ARM_Leather_Body_1;90a79e46-e327-41f4-a349-8e4dd70b1892;Armor;Uncommon
ARM_Leather_Body_2;ac71c753-c207-465c-b28b-c10f95ed0745;Armor;Rare
ARM_StuddedLeather_Body_1;58d7927f-c6eb-4635-85b6-70265c621b3d;Armor;Uncommon
ARM_StuddedLeather_Body_2;83603f36-d158-4a0e-b9c9-358413ba3a92;Armor;Rare
ARM_Hide_Body_1;94ed8ec8-93a4-4a8c-bc47-55cb3faae7c0;Armor;Uncommon
ARM_Hide_Body_2;fd4ab5b0-67e6-4a8b-8745-2003f2f5ada3;Armor;Rare
ARM_ChainShirt_Body_1;eac652ed-ecf7-4505-bf64-0fec29e7d677;Armor;Uncommon
ARM_ChainShirt_Body_2;461f1cbe-6d0d-40ee-8bf6-8a68e0570d6f;Armor;Rare
ARM_ScaleMail_Body_1;dc748177-8590-4a99-a446-feccbd8d8eb4;Armor;Uncommon
ARM_ScaleMail_Body_2;21f0dd84-6f02-4be9-8654-4cebd00dcbaf;Armor;Rare
ARM_Breastplate_Body_1;ad912cef-8bfb-4bf3-98f0-f2c5e3b45915;Armor;Uncommon
ARM_Breastplate_Body_2;4842e9ec-95ba-4168-81a9-f184b08d6c2c;Armor;Rare
ARM_HalfPlate_Body_1;c3407c8d-0180-4f5a-9530-e1167e7290b3;Armor;Uncommon
ARM_HalfPlate_Body_2;15338da1-c4f8-4b43-912c-c14e7d9a8579;Armor;Rare
ARM_RingMail_Body_1;4837915c-080b-491f-813e-be5a71571a17;Armor;Uncommon
ARM_RingMail_Body_2;339c2d50-af1b-45d4-af96-cf2d27e1e11d;Armor;Rare
ARM_ChainMail_Body_1;ed7a8055-cf36-42c8-ad77-15a80d19744f;Armor;Uncommon
ARM_ChainMail_Body_2;d8120501-e5bb-4eb1-b5cf-120b8bfd2ab2;Armor;Rare
ARM_Splint_Body_1;ecfb1364-b1a0-4d0e-b82a-0becd8c291fd;Armor;Uncommon
ARM_Splint_Body_2;2e8dfe32-cd6e-475b-98b5-5e2d9c42a7df;Armor;Rare
ARM_Plate_Body_1;dd905194-9a67-4c61-b26d-5b4da4725cde;Armor;Uncommon
ARM_Plate_Body_2;fdb8ce53-51dc-4ccb-9e29-d1d99040e60b;Armor;Rare
UNI_RobeOfSummer;ffed890a-69fe-4798-8c71-1bd3b72369bc;Armor;Uncommon
ARM_StuddedLeather_Body_Drow;cab3455f-59fe-42be-8dcd-7cd61149389a;Armor;Rare
ARM_HalfPlate_Body_Githyanki;38c63f49-3c50-46d0-90d3-68b247542c36;Armor;RARITY_UNKNOWN
_Foot;00000000-0000-0000-0000-000000000000;Armor;RARITY_UNKNOWN
ARM_Boots_Metal;689e8d3e-b79b-417b-8cd2-9d08b2f5e618;Armor;RARITY_UNKNOWN
ARM_Boots_Metal_Githyanki;319c625a-cfb7-4e44-ac3f-370a00c0d4ef;Armor;RARITY_UNKNOWN
ARM_ChainShirt_Body_Shar;0c0c1031-4a04-4e8f-ba8a-8aafa2a396e8;Armor;RARITY_UNKNOWN
UNI_Astarion_StarterArmor;397dbd19-efed-4507-85f9-66daebad5258;Armor;RARITY_UNKNOWN
ARM_Leather_Body_Druid;b8468a39-a5ff-4de0-85be-a8883a479628;Armor;RARITY_UNKNOWN
ARM_Leather_Body_Rogue;4c4396db-fa4a-4541-9b2a-23e43211dde7;Armor;RARITY_UNKNOWN
UNI_Daisy_Plate;aa0917ea-5f66-4a22-97de-654228484128;Armor;RARITY_UNKNOWN
ARM_Gloves_Metal;1dcdf52e-b596-4e3a-8d1c-8fff17ed8c2c;Armor;RARITY_UNKNOWN
UNI_Daisy_Gloves;5a0ee632-9145-48b2-9b92-97c32c2ccbd9;Armor;RARITY_UNKNOWN
UNI_Daisy_Boots;216f0362-f77b-420c-84cb-d84853aa173d;Armor;RARITY_UNKNOWN
UNI_GaleRobe;9410a467-3e49-4b14-b067-ea8ad6a0d431;Armor;RARITY_UNKNOWN
ARM_Robe_Body_Sorcerer;4ba55c6f-1302-4069-9e04-ff0bf2a7ede2;Armor;RARITY_UNKNOWN
ARM_Robe_Body_Sorcerer_DraconicAncestry;5ebd4ed6-17e6-4787-86d6-bbcaad8c6565;Armor;RARITY_UNKNOWN
ARM_Robe_Body_Sorcerer_StormSorcery;a81be340-0706-4201-bb4c-da52920574cf;Armor;RARITY_UNKNOWN
ARM_Barbarian;f6599c3f-cfcd-4721-9cc2-1df5d8ff0154;Armor;RARITY_UNKNOWN
ARM_Bard;da345d08-2186-4e4a-857c-3fd6a104cec6;Armor;RARITY_UNKNOWN
ARM_ScaleMail_Body_Paladin_Devotion;a455f1a1-acc6-4fce-a09e-111aceced98a;Armor;RARITY_UNKNOWN
ARM_ScaleMail_Body_Paladin_Ancients;e4daf34d-053c-471a-9171-92fa9b4db4af;Armor;RARITY_UNKNOWN
ARM_Padded_Body_Destroyed;e8609f47-b67c-4020-850d-58f7897593e0;Armor;RARITY_UNKNOWN
ARM_Leather_Body_Destroyed;91d8e57d-4c73-47ca-87dc-252ab0a3aa95;Armor;RARITY_UNKNOWN
ARM_ChainShirt_Body_Destroyed;82f4d3d6-c2c8-47ee-8fcb-7b093deff6e9;Armor;RARITY_UNKNOWN
ARM_ScaleMail_Body_Destroyed;ddf6982a-72d4-44db-a152-4dd2b816e836;Armor;RARITY_UNKNOWN
ARM_HalfPlate_Body_Githyanki_Destroyed;c3aaffa5-096d-4d4c-87b6-a9298d306cb6;Armor;RARITY_UNKNOWN
ARM_Robe_Destroyed;14c13bc9-ab35-4cab-a220-23a61cd43845;Armor;RARITY_UNKNOWN
ARM_Gloves_Leather;8e34fd76-8b6d-48a5-89e3-942289bec31e;Armor;RARITY_UNKNOWN
ARM_Gloves_Metal_Githyanki;30b19abd-fc49-4826-811f-9c4c556ae6f0;Armor;RARITY_UNKNOWN
ARM_Shoes;97f37571-35e8-4cc8-8b0d-ff92d20ae0bb;Armor;RARITY_UNKNOWN
ARM_Boots_Leather;969bab00-b269-46a5-a7e9-dd4887814719;Armor;RARITY_UNKNOWN
ARM_Shoes_Barbarian;2577a332-8ad2-4e54-b52b-f4f7cc5823a1;Armor;RARITY_UNKNOWN
ARM_BootsOfSpeed;8b22d15a-85bb-4c8d-90cf-a773fc451eac;Armor;Rare
ARM_Boots_Leather_Druid;7de51e0b-cb9d-4279-9bc5-b0d85dce4cf6;Armor;RARITY_UNKNOWN
ARM_Boots_Leather_A;cf987856-1381-477e-88db-6b359f7e19e8;Armor;RARITY_UNKNOWN
ARM_Boots_Leather_B;2a5964b5-ee7c-4acf-9f40-f45a313b4755;Armor;RARITY_UNKNOWN
ARM_Boots_Leather_C;c1f9f7af-cdb2-49f6-8459-521f2b9263cb;Armor;RARITY_UNKNOWN
ARM_Boots_Leather_D;38f78b0a-4f55-406f-8b28-7c0ec8220905;Armor;RARITY_UNKNOWN
ARM_Boots_Leather_E;39eb6810-3cb9-4ddb-966a-ddd68b93e62c;Armor;RARITY_UNKNOWN
ARM_Boots_Leather_F;d7219371-2f32-4675-b805-a0c9af19c1ff;Armor;RARITY_UNKNOWN
ARM_Shoes_A;9c16f3c5-f25a-49ee-b24c-7e974334939f;Armor;RARITY_UNKNOWN
ARM_Shoes_B;f649e46c-f1d1-4eb7-af73-368423951707;Armor;RARITY_UNKNOWN
ARM_Shoes_C;10e07ff1-5586-44fb-b437-31db1f7748ec;Armor;RARITY_UNKNOWN
ARM_Shoes_D;85d78eab-e4ad-4f56-bfb3-87c6368f5b17;Armor;RARITY_UNKNOWN
ARM_Shoes_E;2134b8b6-fb84-4521-a154-b734c3cf6fd9;Armor;RARITY_UNKNOWN
ARM_Shoes_F;524ca019-25b5-4769-a9e4-842505710e77;Armor;RARITY_UNKNOWN
ARM_Shoes_G;6c194c79-51c7-4cbd-a5b1-ef0d06b7c559;Armor;RARITY_UNKNOWN
ARM_Shoes_H;127d5d89-d6ab-4e4a-b6fe-a3586e6d7020;Armor;RARITY_UNKNOWN
ARM_Hat;4d2e0931-3a01-4759-834b-8ae36749daab;Armor;RARITY_UNKNOWN
ARM_Hat_Rich;4d2e0931-3a01-4759-834b-8ae36749daab;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_A;07ad0e9f-7fb4-418f-a1ef-06b431c252be;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_B;65f78de8-f6aa-4080-84de-73e654b02883;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_C;a05f4468-4e26-4856-b996-ba8ab8e55a14;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_D;b8bd447c-eef3-441e-9fb8-303b5b926432;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_E;e24d6a8b-5489-4c5c-b133-b435fda3918a;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_F;694320b7-726b-4804-9dd6-fbc8a307a05f;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_G;ff47e1c4-f49f-460c-b6a6-dce635fa48c4;Armor;RARITY_UNKNOWN
ARM_Hat_Wizard_H;4a4e2cf1-a02f-41c4-b68f-5f5301f74577;Armor;RARITY_UNKNOWN
ARM_Hat_MuffinHat_A;90008c9b-ca19-46c1-9c2b-7164983de6da;Armor;RARITY_UNKNOWN
ARM_Hat_MuffinHat_B;3d3c949f-8fff-4133-b12e-3c739dbd6428;Armor;RARITY_UNKNOWN
ARM_Jester_Hat;56769fcd-f35c-4569-b7ef-9a974fd2e226;Armor;RARITY_UNKNOWN
ARM_MerregonMask;b2409a86-dc0d-4193-9985-4f11419c64be;Armor;RARITY_UNKNOWN
ARM_Helmet_Leather;c58a1f91-ec1b-49c8-96ab-d94d4be4b584;Armor;RARITY_UNKNOWN
ARM_Helmet_Metal;67a87879-533e-4f9b-8274-f5bd37748ace;Armor;RARITY_UNKNOWN
ARM_Circlet;348b0f52-8960-43e0-ae38-c1d3b1974c3f;Armor;RARITY_UNKNOWN
ARM_CircletOfBlasting;3abdbb8a-4701-4397-8fce-7a8dd8a0bb84;Armor;Rare
ARM_HeadbandOfIntellect;8779b30f-dc6f-4264-b7af-9dc0eff51bb0;Armor;Rare
UNI_ShadowheartCirclet;437aede9-dea6-46fd-ade2-fc9cfef16c3d;Armor;RARITY_UNKNOWN
ARM_Cloak;a1978b4d-3d93-49ec-9a8b-d19171ed35d5;Armor;RARITY_UNKNOWN
ARM_Ring;ecf4a8a4-7859-4a82-8c08-0c9526f29500;Armor;RARITY_UNKNOWN
ARM_Ring_Copper;7ff7d7b1-6fdd-44b7-b0ca-d9f4ebf5bb72;Armor;RARITY_UNKNOWN
ARM_Ring_B;7ff7d7b1-6fdd-44b7-b0ca-d9f4ebf5bb72;Armor;RARITY_UNKNOWN
ARM_Ring_C;d4d7ed7f-3b51-4be4-8b3c-15dcd4f9de91;Armor;RARITY_UNKNOWN
ARM_Ring_D;9e1ef422-c33e-4429-a197-abc07a02d767;Armor;RARITY_UNKNOWN
ARM_Ring_E;8b1c2137-76e4-4a47-bebb-cf50847aca08;Armor;RARITY_UNKNOWN
ARM_Ring_F;5dafe8e9-8437-4347-96eb-98b58efaacf6;Armor;RARITY_UNKNOWN
ARM_Ring_G;5f2b3262-bc71-4873-beb5-b51968e565ee;Armor;RARITY_UNKNOWN
ARM_Ring_H;f284c260-84d9-45d6-8a15-257401f361dc;Armor;RARITY_UNKNOWN
