"Name";"DisplayName";"Description";"UUID";"Type";"Using";"UsingRoot";"EquipmentSlot";"Rarity";"ArmorClass";"ArmorType";"ProficiencyGroup";"DefaultBoosts";"Boosts";"BoostsOnEquipMainHand";"BoostsOnEquipOffHand";"PassivesOnEquip";"PassivesMainHand";"PassivesOffHand";"Damage";"WeaponProperties"
"ARM_Padded_Body";"Padded Armour";"A standard gambeson of quilted cloth. Good for catching blows, but almost unbearably sweaty.";"63cc7723-245d-4b62-b9e6-5a47283cf777";"Armor";"_Body";"_Body";"Breast";;"11";"Padded";"LightArmor";;;;;;;;;
"ARM_Leather_Body";"Leather Armour";"Dark, messy stains line the armholes of the well-used leather breastplate.";"02ae5d88-8044-43df-8363-02a2900776db";"Armor";"_Body";"_Body";"Breast";;"11";"Leather";"LightArmor";;;;;;;;;
"ARM_StuddedLeather_Body";"Studded Leather Armour";"Shaped, hardened, and reinforced with metal studs, leather is the armour of choice for those who value agility as much as protection.";"19451420-13f6-444c-a15b-7abb6dde3f91";"Armor";"_Body";"_Body";"Breast";;"12";"StuddedLeather";"LightArmor";;;;;;;;;
"ARM_Hide_Body";"Hide Armour";"Constructed from carefully-chosen animal hides tanned, hardened and varnished to a gleaming finish.";"b78fabcc-d2df-4c74-b5d4-1eda6dc4c071";"Armor";"_Body";"_Body";"Breast";;"12";"Hide";"MediumArmor";;;;;;;;;
"ARM_ChainShirt_Body";"Chain Shirt";"Tight chains protect the wearer from sharp weapons, while fabric padding protects the skin from cold metal.";"921cd1e1-c39c-44c3-a090-b667322af7f8";"Armor";"_Body";"_Body";"Breast";;"13";"ChainShirt";"MediumArmor";;;;;;;;;
"ARM_ScaleMail_Body";"Scale Mail";"A hefty shirt of scale, offering some protection against the slings and arrows of the world.";"ca0aafad-0f1e-4d76-8e3b-925397bb436b";"Armor";"_Body";"_Body";"Breast";;"14";"ScaleMail";"MediumArmor";;"IF(not HasPassive('MediumArmorMaster', context.Source)):Disadvantage(Skill,Stealth)";;;;;;;
"ARM_Breastplate_Body";"Breastplate";"This standard-sized breastplate is lined with thick padding meant to cushion the wearer and deflect blows from assailants. The uniform squares of the padding suggest a mathematically-minded crafter.";"4814825e-23ee-41ed-9784-d9963434150d";"Armor";"_Body";"_Body";"Breast";;"14";"BreastPlate";"MediumArmor";;;;;;;;;
"ARM_HalfPlate_Body";"Half Plate Armour";"This heavy, resilient breastplate is reinforced by a padded gambeson to protect soldiers from hip to neck.";"34a71679-0ab5-4fd4-bba8-d6ad341ee490";"Armor";"_Body";"_Body";"Breast";;"15";"HalfPlate";"MediumArmor";;"IF(not HasPassive('MediumArmorMaster', context.Source)):Disadvantage(Skill,Stealth)";;;;;;;
"ARM_RingMail_Body";"Ring Mail Armour";;"e3a5099a-397a-4bbc-932c-cd0a00043b79";"Armor";"_Body";"_Body";"Breast";;"14";"RingMail";"HeavyArmor";;"Disadvantage(Skill,Stealth)";;;;;;;
"ARM_ChainMail_Body";"Chain Mail";"The tight weave of chains in this armour chimes like wind through leaves.";"b973e3cb-c18d-4514-ba01-ebcabbf26968";"Armor";"_Body";"_Body";"Breast";;"16";"ChainMail";"HeavyArmor";;"Disadvantage(Skill,Stealth)";;;;;;;
