"UUID";"Name";"Stats";"DisplayName";"Description"
"0004915f-4399-4ae1-beab-85a62c11b674";"ARM_Camp_Rich_D_Blue";"ARM_Vanity_Body_Rich_D";"Anarchic Blue Outfit";"There is something of the blue-blooded rebel in this outfit, of the bandit princess or prince stealing plunder and hearts."
"000579f2-5935-4128-8a0b-28fca0434dc9";"DEC_HAG_Tea_Pot_A";"OBJ_KitchenwareGeneric_Small";"Toad Teapot";"Incredibly lifelike, down to the last wart."
"001376e1-2f21-4306-b510-0be29fa4941d";"CONS_GEN_Food_Plate_Roast_Beef_Joint_A";"Food_Roast_Beef";"Roast Beef Joint";"A joint of succulent beef, slowly roasted in mustard and gravy, and garnished with carrots and peas."
"0015edb7-b2bb-45e5-baa2-8c63d37b98a5";"FUR_GEN_House_Footrest_Rich_A_Destruct";"OBJ_GenericImmutableObject";"Padded Ottoman";
"001bfc28-6dcf-4abb-98d5-2b7a80e1f681";"BLD_MF_Nautiloid_Mind_Draining_Device_TopPart_A";"OBJ_GenericImmutableObject";"Liquidator";
"00211ceb-2b31-4701-8367-fc8052ea7506";"VFX_Static_Waterplane_WLD_Forest_B_A";;"Field";
"00253e1b-375c-4ef4-8808-974cab615ff7";"CONS_Drink_Water_A_Wicker";"CONS_DRINK_Water_Bottle_Wicker";"Water";"This bottle has been carefully sealed, ensuring the water within remains untainted."
"002a15a3-77bb-4906-9710-8bcaa68b6939";"FUR_HAG_Table_Big_A_Destruct";"OBJ_GenericImmutableObject";"Table";
"00353281-1abb-4de6-893b-d6bf7f748da8";"CINE_TOOL_Hospital_Surgery_Scalpel_A";"WPN_Dagger";"Scalpel";"This dagger's handle is smooth and light, its jagged blade sharpened into a thin, cruel edge."
"0035ba94-9031-4724-b5ef-69a45e2ff695";"DOOR_Double_Medium_City_House_J_Destruct";"OBJ_GenericImmutableObject";"Destroyed Object";
"003b0021-7c39-4af9-880f-5645de53997a";"ATM_GlowPlane_A_Shadowcurse";;"Field";
"003fd376-5351-44cf-b65f-16881791ee1c";"DEC_GEN_Statue_Ketheric_A_Broken_A_Dynamic";"OBJ_GenericImmutableObject";"Statue ";
"004ab562-5cd4-4f1f-8aa5-497e7e2c5f4f";"WPN_Drow_Shield_A_0_Absolute";"ARM_Shield";"Iron-Banded Shield";"This thick oak shield is reinforced with a frame of rough-hammered iron."
"00544958-4656-4e69-8feb-282cb11a6c9e";"BASE_WEAPON_HeavyCrossbows";"WPN_HeavyCrossbow";"Heavy Crossbow";
"00588cb4-2ff8-479d-b337-ccc62928a83e";"LTS_DUN_Candles_Cluster_B_Gold_Destroyed";;"Field";
"005cb0f3-1cc3-4019-968d-dfb94f9d0a39";"DEC_Laboratory_Flask_Glass_Installation_A_Glow_Yellow_A";"OBJ_Laboratory_Installation";"Condensers and Alembics";"A collection of fine glass flasks, used to distil liquids both mundane and sinister."
"005ee9c5-23d0-41e6-b4d7-cff4570bc5b5";"CONS_GEN_Food_Meat_Sausage_B_Individual_A";"CONS_FOOD_Sausage_D";"Spicy Pork Sausage";"Hard, fatty, and filled with the tangiest spices found in the port of Baldur's Gate."
"005f58c8-9dbb-4c26-b9c6-e531f6e3617d";"LOOT_GEN_Autopsy_Jar_Tadpoles_B";"OBJ_GenericLootItem";"Preserved Mind Flayer Parasite";
"0098756a-77d8-4090-887a-176c5e340c55";"NAT_Coastal_Plant_Bush_Pine_Medium_A_Burnt";;"Pine Bush";
"00cd39fa-ff43-4f00-b3ab-9af52c70b483";"DEC_Druids_Tablet_Stone_Row_Multiple_A";"OBJ_GenericImmutableObjectHeavy";"Stone Tablets";
"00d54150-a62c-4b01-b513-f165ac0d0150";"CONS_GEN_Food_Meat_Sausage_A_Hanging_B";"CONS_FOOD_Sausage_Piled_B";"Dried Sausage Links";"Infused with copious amounts of garlic and cooked in mulled wine."
"00d770dd-4b9a-481d-9e8d-a723df8d2f53";"LOOT_Alchemy_Crystal_A";"OBJ_GenericLootItem";"Crystal";
"0102b1cc-6d60-43cf-84b2-01a0fad7ae5b";"VFX_Static_Waterfall_VC_01";;"Field";
"01037d0a-fbfb-41c7-b2d2-0947f2827d80";"FUR_GEN_Printing_Press_A";"OBJ_GenericImmutableObject";"Printing Press";
"01051ea7-1980-448f-9e24-9951f8b39670";"Gnomes_Female_Forest_InvokeDuplicity";"MinorIllusion";"Illusory Double";
"0116cb70-6029-4cae-b64d-e19033a03087";"Humans_Male_Guard_Caster";"Human_Caster";"Human Spellcaster";
"011734b5-787f-4559-9ac3-4a68314c1438";"BLD_Hag_Fireplace_A_Base_A";"OBJ_Campfire_Indestructible";"Fireplace";
"011a64ae-8e3c-40b8-890d-67ae115af451";"Dwarves_Female_Hill_InvokeDuplicity";"MinorIllusion";"Illusory Double";
"011fd52f-8fee-4765-b0ac-4dd62d4c7c90";"BLD_Druids_Camp_Tent_Module_B_Dynamic";"OBJ_GenericImmutableObject";"Structure";
"0131606c-0619-4fab-95ce-cd081b4e293d";"DOOR_Dungeon_Shar_Temple_Door_Double_Medium_A";"OBJ_Door_Heavy";"Double Oak Doors";
"0146d95d-6334-4486-89d1-01ae236b318a";"DOOR_Single_Dungeon_Fence_D_Destruct";"OBJ_GenericImmutableObject";"Destroyed Object";
"014d3d6b-96bd-44d5-84a4-a0cbb8b286a5";"Helper_PortraitGeneration_Background_Custom_11";;"Field";
"01533d43-8a0d-4ecb-abe1-4dedd9f23faf";"BASE_HalfElves_Male_Drow_Civilian";"HalfDrow_Commoner";"Civilian";
"016ae6c3-d190-446b-9ebb-3daefd07acf2";"ATM_GodRay_25m_Cluster_B";;"Field";
"01718a36-3102-4dd2-b141-4f5f042deb10";"HalfElves_Female_High_Player";"HeroHalfElfFemale";"Half-Elf";
"0180607d-dbf8-48e6-98d9-89e67aa9f13a";"CONS_Mushroom_Swarmingtoadstool_A";"CONS_Mushrooms_SwarmingToadstool";"Swarming Toadstool";"Often found swarming around larger fungi, the Swarming Toadstool can grow anywhere it can find some company."
"01852753-22b9-4724-986b-8c9786b04010";"CONS_GEN_Food_Ham_Hanging_A";"OBJ_FOOD_Ham";"Honeyed Ham";"Traditionally served as the first dish at every halfling holiday feast, this large ham is brushed with honey, brown sugar, and pineapple glaze."
"018d35fb-2807-4918-a836-a3d6b4917251";"BASE_Dwarves_Female_Hill_FlamingFist";"Dwarf_Commoner";"Dwarf";
"019d8804-56ee-44eb-959a-db5377cda8ae";"LOOT_SCROLL_MirrorImage";"OBJ_Scroll_MirrorImage";"Scroll of Mirror Image";"This book is redolent with the enticing smell of paper and ink."
"01a26e77-c4bc-4237-ae71-59c634723a95";"WPN_Mace_REF";"WPN_Mace";"Mace";
"01a543f9-c729-42e4-9e06-22468cb4f4b5";"FUR_GEN_Bookcase_Wood_Poor_A_1D_3H_4W_A_Brown_Destruct";"OBJ_GenericImmutableObject";"Broken Barricade";
"01ae9d80-e4d5-422c-a841-e663ca3dc832";"DEC_Dungeon_Skeleton_BonePile_B_Bloody_A";"OBJ_GenericImmutableObjectHeavy";"Pile of Bones";"Dented, scratched, and stained with blood."
"01af71c4-bf7a-4feb-937b-31fdd2b81a2d";"Helper_PortraitGeneration_Background_Custom_02";;"Field";
"01c188d4-9161-44c0-89cd-a753ea50bf04";"REF_SCN_Primitives_Cube_2n5x2n5x2n5";;"Reference Primitives: Cube 5x5x5";
"01c40846-bd14-4bea-b0ed-e9401e3bf309";"CONT_Emerald_Enclave_Vase_C";"OBJ_Vase";"Vase";"A rough earthen vase, decorated only with the silhouette of a stag, the symbol of the Emerald Enclave."
"01c62c42-54ec-496d-95b3-35d063a3a3ee";"LAB_GEN_Bottle_Rack_Multiple_Tileset_D_Destruct";"OBJ_GenericImmutableObject";"Broken Barricade";
"01d1b2b2-9e6b-4ad2-8d63-59f9caf1d389";"LOOT_SCROLL_TrueResurrection";"OBJ_Scroll_Revivify";"Scroll of True Resurrection";"This book is redolent with the enticing smell of paper and ink."
"01d74aea-9e8a-4d03-9b55-e43458b61163";"Quest_GOB_WolfPens_AmuletOfBeastmaster";"GOB_Pens_BeastmasterAmulet";"Beastmaster's Chain";"The green jewel set into this necklace's pendant is carved to resemble a cat's slivered pupil."
"01da5a5b-97cd-4989-9ae3-af646eb35bc9";"WPN_Ogre_Greatclub_A";"WPN_Ogre_Greatclub";"Gnarled Tree Branch";"A heavy branch ripped from the trunk of an oak tree."
"01df2059-dc4a-43e5-a352-4c7ef62f4085";"BOOK_GEN_Books_Row_Multiple_B";"OBJ_Bookrow";"Rows of Books";"Filled with scholarly texts from across Faerûn - with a few tawdry heroic tales in the mix."
"01ea948d-e239-4540-9aaa-cc74974310d0";"PUZ_GOB_Firebowl_A_Bowl_A";"OBJ_GenericImmutableObjectHeavy";"Brazier";
"01f12c48-d7f3-b427-ea72-91d0ba0eea10";"LTS_DUN_Wall_Bowls_D_Gold_cine_converted";;"Brazier";
"01fa8d64-f63e-4bb8-9ee4-cba84dad3781";"Goblins_Male_Caster";"Goblin_Caster";"Goblin Booyahg";
"0206650c-76b0-4ca3-9060-8efb5b739ede";"CONS_FOOD_Fruit_Orange_A";"CONS_FOOD_Fruit_Orange";"Orange";"A colourful citrus favourite grown in the south of the Sword Coast."
"020adfe3-f0fb-482f-8a46-158d4820578c";"TOOL_Camp_Bedroll_Open_C";"OBJ_Bedroll";"Bedroll";"The thick fur lining of this traveller's bedding is lightly stained with dirt."
"0212f79d-38cc-4d0c-9d07-920e843b20dd";"Goblins_Male_Ranger_Tier2";"Goblin_Ranger_Strong";"Goblin Sharp-Eye";
"0238abf9-d0c5-44c8-87fa-7a72f0826065";"LOOT_GEN_Backpack_D_Posed_A";"OBJ_Backpack";"Backpack";"A simple canvas bag, perfect for carrying almost anything."
"023a1af1-1c5f-4e2f-adc4-4bdd7c595a7f";"DEC_GEN_Market_Stall_A_Box_A_Double_A_Destruct";"OBJ_GenericImmutableObject";"Broken Box";
"025ae26c-d003-4ecc-9cb2-4dd5e008beb9";"PUZ_Ketheric_Giant_Forge_Lever_Floor_A";"OBJ_Lever_Action";"Lever";
"025d044b-d6d0-491b-851f-eb414767c0eb";"Helper_Occluder_4x4";;"Field";
"02684d31-8fd1-4659-a8bf-bbf1757f94bc";"LTS_DUN_Bowls_I_Destruct";"OBJ_GenericImmutableObject";"Destroyed Object";
"026bed8f-09ae-4146-be47-248cfc6dd0b8";"BOOK_GEN_Books_Stack_C_Dynamic";"OBJ_Bookrow";"Stack of Books";"Precariously stacked tomes of varied thickness, each dustier than the one beneath."
"0271f69c-ef7f-4246-9286-41036fd2e235";"UNI_GOB_DwarfsPoem";"GOB_DwarfsPoem";"Dwarf's Poem";"A eulogy for a Selûnite who died in the dark below. Notes about a door under the temple are written in the margins."
"02739a6a-59ec-4d90-b146-9176801c097e";"FUR_GEN_House_Chair_Rich_F_Destruct";"OBJ_GenericImmutableObject";"Lavish Chair";
